_id,label,hari
662f2fca3ba1c0b45ee4f61a,with_mask,Tuesday
662f2fca3ba1c0b45ee4f61b,with_mask,Tuesday
662f2fca3ba1c0b45ee4f61c,with_mask,Tuesday
662f2fcb3ba1c0b45ee4f61d,with_mask,Tuesday
662f2fcb3ba1c0b45ee4f61e,with_mask,Tuesday
662f2fcb3ba1c0b45ee4f61f,without_mask,Tuesday
662f2fcb3ba1c0b45ee4f620,without_mask,Tuesday
662f2fcb3ba1c0b45ee4f621,without_mask,Tuesday
662f2fcb3ba1c0b45ee4f622,without_mask,Tuesday
662f2fcb3ba1c0b45ee4f623,without_mask,Tuesday
662f2fcb3ba1c0b45ee4f624,without_mask,Tuesday
662f2fcb3ba1c0b45ee4f625,without_mask,Tuesday
662f2fcb3ba1c0b45ee4f626,without_mask,Tuesday
662f2fcc3ba1c0b45ee4f627,without_mask,Tuesday
662f2fcc3ba1c0b45ee4f628,without_mask,Tuesday
662f2fcc3ba1c0b45ee4f629,without_mask,Tuesday
662f2fcc3ba1c0b45ee4f62a,without_mask,Tuesday
662f2fcc3ba1c0b45ee4f62b,without_mask,Tuesday
662f2fcc3ba1c0b45ee4f62c,without_mask,Tuesday
662f2fcc3ba1c0b45ee4f62d,without_mask,Tuesday
662f2fcc3ba1c0b45ee4f62e,without_mask,Tuesday
662f2fcc3ba1c0b45ee4f62f,without_mask,Tuesday
662f2fcc3ba1c0b45ee4f630,without_mask,Tuesday
662f2fcd3ba1c0b45ee4f631,without_mask,Tuesday
662f2fcd3ba1c0b45ee4f632,without_mask,Tuesday
662f2fcd3ba1c0b45ee4f633,without_mask,Tuesday
662f2fcd3ba1c0b45ee4f634,without_mask,Tuesday
662f2fcd3ba1c0b45ee4f635,without_mask,Tuesday
662f2fcd3ba1c0b45ee4f636,without_mask,Tuesday
662f2fcd3ba1c0b45ee4f637,without_mask,Tuesday
662f2fcd3ba1c0b45ee4f638,without_mask,Tuesday
662f2fcd3ba1c0b45ee4f639,without_mask,Tuesday
662f2fce3ba1c0b45ee4f63a,without_mask,Tuesday
662f2fce3ba1c0b45ee4f63b,without_mask,Tuesday
662f2fce3ba1c0b45ee4f63c,without_mask,Tuesday
662f2fce3ba1c0b45ee4f63d,without_mask,Tuesday
662f2fce3ba1c0b45ee4f63e,without_mask,Tuesday
662f2fce3ba1c0b45ee4f63f,without_mask,Tuesday
